districts,vaccinated2,vaccinated1,confirmed,recovered,deceased,tested
North and Middle Andaman,8,0,0,0,0,0
South Andaman,28,3,0,0,0,0
Anantapur,5370,4575,4,5,0,0
Chittoor,1306,878,64,87,1,0
East Godavari,237,41,87,121,0,0
Guntur,1248,1119,33,198,0,0
Krishna,337,51,46,71,1,0
Kurnool,1538,4716,6,3,0,0
Prakasam,5872,3292,6,37,0,0
S.P.S. Nellore,1639,2724,34,23,1,0
Srikakulam,6,2,19,20,0,0
Visakhapatnam,2311,1309,27,30,0,0
Vizianagaram,1855,601,7,11,1,0
West Godavari,1884,878,40,44,0,0
Y.S.R. Kadapa,1101,1005,12,25,0,0
Changlang,0,0,0,1,0,0
East Kameng,1,0,0,0,0,0
East Siang,0,0,0,5,0,0
Lepa Rada,54,6,0,0,0,0
Lower Dibang Valley,1,19,0,0,0,0
Lower Subansiri,36,2,0,0,0,0
Pakke Kessang,14,0,0,0,0,0
Papum Pare,0,0,1,1,0,0
West Kameng,89,15,0,7,0,0
West Siang,0,0,0,-5,0,0
Baksa,172,39,0,0,0,0
Barpeta,1035,369,0,0,0,0
Biswanath,1655,507,0,0,0,0
Bongaigaon,1287,85,0,0,0,0
Cachar,966,2149,0,0,0,0
Charaideo,26,3,0,0,0,0
Chirang,89,22,0,0,0,0
Darrang,270,365,0,0,0,0
Dhemaji,47,55,0,0,0,0
Dhubri,1906,1042,0,0,0,0
Dibrugarh,4007,699,0,0,0,0
Dima Hasao,59,160,0,0,0,0
Goalpara,81,47,0,0,0,0
Golaghat,2676,504,0,0,0,0
Hailakandi,705,88,0,0,0,0
Hojai,2979,512,0,0,0,0
Jorhat,2154,225,0,0,0,0
Kamrup,253,231,0,0,0,0
Kamrup Metropolitan,1713,359,0,0,0,0
Karbi Anglong,280,342,0,0,0,0
Karimganj,1382,331,0,0,0,0
Kokrajhar,823,162,0,0,0,0
Lakhimpur,1555,148,0,0,0,0
Majuli,166,36,0,0,0,0
Morigaon,482,264,0,0,0,0
Nagaon,1481,758,0,0,0,0
Nalbari,1492,388,0,0,0,0
Sivasagar,714,46,0,0,0,0
Sonitpur,2664,448,0,0,0,0
South Salmara Mankachar,1288,260,0,0,0,0
Tinsukia,1679,6637,0,0,0,0
Udalguri,1396,1935,0,0,0,0
Unknown,0,0,212,236,1,0
West Karbi Anglong,147,312,0,0,0,0
Araria,3067,5177,0,0,0,0
Arwal,1360,262,0,0,0,0
Aurangabad,2657,1264,0,0,0,0
Banka,3138,2635,0,0,0,0
Begusarai,2774,1906,0,1,0,0
Bhagalpur,3458,2122,0,1,0,0
Bhojpur,4879,3232,0,0,0,0
Buxar,2516,1083,0,0,0,0
Darbhanga,5306,2858,0,0,0,0
East Champaran,8014,2434,0,0,0,0
Gaya,1689,1708,0,0,0,0
Gopalganj,8468,5308,0,0,0,0
Jamui,1416,1435,0,0,0,0
Jehanabad,1617,498,0,0,0,0
Kaimur,2183,1067,0,0,0,0
Katihar,2966,2680,0,0,0,0
Khagaria,2118,881,0,0,0,0
Kishanganj,1445,1997,3,1,0,0
Lakhisarai,1005,595,0,0,0,0
Madhepura,4459,2700,0,0,0,0
Madhubani,6686,2735,2,0,0,0
Munger,2867,851,0,0,0,0
Muzaffarpur,7023,3545,0,0,0,0
Nalanda,1826,2168,0,0,0,0
Nawada,4338,4176,0,0,0,0
Patna,2024,737,2,3,0,0
Purnia,1959,2821,0,0,0,0
Rohtas,4149,4911,0,0,0,0
Saharsa,18126,28493,0,0,0,0
Samastipur,5157,3216,1,1,0,0
Saran,6693,4149,0,2,0,0
Sheikhpura,788,345,0,0,0,0
Sheohar,1629,666,0,0,0,0
Sitamarhi,5476,3873,0,0,0,0
Siwan,4030,1163,0,0,0,0
Supaul,5131,3029,0,0,0,0
Vaishali,2621,1522,0,0,0,0
West Champaran,6316,7525,0,0,0,0
Chandigarh,1282,211,5,3,0,1403
Balod,762,523,0,0,0,0
Baloda Bazar,605,953,0,1,0,0
Balrampur,725,1654,0,0,0,0
Bametara,25,25,1,0,0,0
Bastar,129,82,2,2,0,0
Bijapur,56,47,3,1,0,0
Bilaspur,9113,2404,1,3,0,0
Dakshin Bastar Dantewada,1299,143,1,0,0,0
Dhamtari,18,1,0,2,0,0
Durg,908,468,4,6,0,0
Gariaband,153,440,0,0,0,0
Gaurela Pendra Marwahi,297,257,1,0,0,0
Janjgir Champa,1341,1722,2,4,0,0
Jashpur,383,187,0,3,0,0
Kabeerdham,1288,1128,0,0,0,0
Kondagaon,184,243,0,0,0,0
Korba,1126,1086,5,2,0,0
Koriya,346,2370,0,0,1,0
Mahasamund,6309,159,0,0,0,0
Mungeli,981,1330,0,0,0,0
Narayanpur,903,1075,0,0,0,0
Other State,0,0,1,0,0,0
Raigarh,6265,752,2,4,0,0
Raipur,3193,789,9,3,0,0
Rajnandgaon,650,596,0,0,0,0
Sukma,77,140,0,1,0,0
Surajpur,322,442,0,0,0,0
Surguja,1834,1831,0,0,0,0
Uttar Bastar Kanker,645,995,0,0,0,0
Delhi,11839,12482,45,46,0,56751
Dadra and Nagar Haveli,18,3,0,0,0,0
Daman,0,0,0,1,0,0
North Goa,5967,1070,0,0,0,0
South Goa,6405,1492,0,0,0,0
Unknown,0,0,23,53,0,0
Ahmedabad,11394,1765,4,2,0,0
Amreli,3792,399,0,0,0,0
Anand,2866,4876,0,0,0,0
Aravalli,106,2,0,0,0,0
Banaskantha,3521,390,0,0,0,0
Bharuch,2936,1539,0,0,0,0
Bhavnagar,1470,359,1,0,0,0
Botad,235,13,0,0,0,0
