districts,confirmed
Unknown,9
Anantapur,50
Chittoor,631
East Godavari,401
Guntur,509
Krishna,405
Kurnool,31
Prakasam,243
S.P.S. Nellore,283
Srikakulam,47
Visakhapatnam,273
Vizianagaram,30
West Godavari,171
Y.S.R. Kadapa,146
East Siang,2
Lohit,2
Lower Dibang Valley,6
Lower Subansiri,7
Namsai,8
Pakke Kessang,1
Papum Pare,22
Shi Yomi,3
Tawang,12
Upper Dibang Valley,1
Upper Siang,2
West Kameng,17
West Siang,4
Unknown,1499
Begusarai,8
Bhagalpur,1
East Champaran,1
Gaya,1
Madhepura,1
Munger,1
Patna,14
Samastipur,1
Sitamarhi,1
Supaul,1
Chandigarh,23
Balod,3
Baloda Bazar,1
Bametara,1
Bijapur,6
Bilaspur,12
Dakshin Bastar Dantewada,4
Dhamtari,2
Durg,19
Janjgir Champa,9
Jashpur,6
Kondagaon,2
Korba,13
Koriya,1
Mahasamund,2
Mungeli,2
Narayanpur,1
Other State,3
Raigarh,10
Raipur,15
Rajnandgaon,2
Sukma,3
Surajpur,1
Surguja,2
Uttar Bastar Kanker,4
Delhi,195
Dadra and Nagar Haveli,2
Daman,2
Unknown,409
Ahmedabad,29
Bhavnagar,3
Dang,-2
Gandhinagar,-1
Gir Somnath,3
Jamnagar,1
Junagadh,13
Kheda,3
Kutch,4
Narmada,2
Navsari,11
Rajkot,2
Surat,38
Tapi,-1
Vadodara,16
Valsad,28
Bilaspur,78
Chamba,8
Hamirpur,177
Kangra,310
Kinnaur,4
Kullu,17
Lahaul and Spiti,1
Mandi,165
Shimla,72
Solan,25
Una,101
Ambala,2
Faridabad,8
Fatehabad,1
Gurugram,47
Kaithal,2
Karnal,2
Kurukshetra,1
Palwal,1
Panchkula,7
Rewari,2
Rohtak,4
Sirsa,3
Sonipat,1
Yamunanagar,2
Bokaro,5
Dhanbad,1
East Singhbhum,11
Garhwa,1
Jamtara,1
Khunti,2
Pakur,1
Ramgarh,1
Ranchi,52
West Singhbhum,3
Anantnag,19
Bandipora,16
Baramulla,57
Budgam,48
Doda,26
Ganderbal,10
Jammu,27
Kathua,1
Kulgam,1
Kupwara,32
Pulwama,8
Punch,13
Rajouri,8
Reasi,13
Samba,1
Srinagar,247
Udhampur,2
Bagalkote,1
Ballari,9
Belagavi,31
Bengaluru Rural,40
Bengaluru Urban,1105
Bidar,7
Chamarajanagara,14
Chikkaballapura,6
Chikkamagaluru,46
Chitradurga,9
Dakshina Kannada,232
Davanagere,9
Dharwad,15
Gadag,1
Hassan,144
Haveri,3
Kalaburagi,2
Kodagu,79
Kolar,38
Koppal,2
Mandya,59
Mysuru,252
Raichur,7
Ramanagara,12
Shivamogga,38
Tumakuru,103
Udupi,91
Uttara Kannada,65
Vijayapura,11
Yadgir,1
Alappuzha,3016
Ernakulam,8747
Idukki,3256
Kannur,3456
Kasaragod,1156
Kollam,3991
Kottayam,4644
Kozhikode,5631
Malappuram,3497
Palakkad,3177
Pathanamthitta,2683
Thiruvananthapuram,7626
Thrissur,6874
Wayanad,1767
Leh,26
Ahmednagar,2120
Akola,7
Amravati,2
Aurangabad,140
Beed,123
Buldhana,15
Chandrapur,14
Dhule,4
Gadchiroli,4
Hingoli,7
Jalgaon,11
Jalna,44
Kolhapur,74
Latur,47
Mumbai,3019
Nagpur,20
Nanded,15
Nashik,585
Osmanabad,197
Palghar,310
Parbhani,12
Pune,2964
Raigad,594
Ratnagiri,192
Sangli,380
Satara,508
Sindhudurg,258
Solapur,519
Thane,1629
Wardha,4
Washim,5
Yavatmal,2
East Garo Hills,1
East Jaintia Hills,8
East Khasi Hills,348
North Garo Hills,1
Ribhoi,20
South Garo Hills,1
South West Garo Hills,2
South West Khasi Hills,5
West Garo Hills,13
West Jaintia Hills,13
West Khasi Hills,118
Unknown,734
Betul,1
Bhind,1
Bhopal,27
Chhatarpur,1
Dhar,6
Indore,8
Jabalpur,2
Jhabua,1
Narsinghpur,1
Rajgarh,7
Sagar,6
Ujjain,1
Vidisha,1
Aizawl,3869
Champhai,407
Hnahthial,136
Khawzawl,33
Kolasib,165
Lawngtlai,274
Lunglei,642
Mamit,308
Saiha,420
Saitual,28
Serchhip,488
Dimapur,74
Kohima,33
Longleng,8
Mokokchung,7
Peren,5
Phek,5
Tuensang,28
Wokha,2
Angul,18
Balangir,17
Balasore,94
Bargarh,18
Bhadrak,32
Boudh,3
Cuttack,326
Deogarh,4
Dhenkanal,14
Gajapati,11
Ganjam,25
Jagatsinghpur,72
Jajpur,76
Jharsuguda,11
Kalahandi,5
Kandhamal,2
Kendrapara,88
Kendujhar,20
Khordha,1704
Koraput,23
Malkangiri,2
Mayurbhanj,129
Nabarangapur,6
Nayagarh,33
Nuapada,11
Puri,91
Rayagada,14
Sambalpur,62
State Pool,407
Subarnapur,5
Sundargarh,58
Amritsar,8
Barnala,2
Bathinda,10
Faridkot,7
Fatehgarh Sahib,2
Fazilka,6
Ferozepur,6
Gurdaspur,1
Hoshiarpur,12
Jalandhar,14
Kapurthala,8
Ludhiana,15
Mansa,1
Moga,2
Pathankot,14
Patiala,12
Rupnagar,3
S.A.S. Nagar,27
Sangrur,3
Shahid Bhagat Singh Nagar,3
Tarn Taran,3
Karaikal,69
Mahe,44
Puducherry,218
Yanam,12
Ajmer,5
Bikaner,7
Dholpur,1
Jaipur,9
Jhalawar,1
Jodhpur,2
Pali,1
Sawai Madhopur,2
Udaipur,3
Unknown,82
Unknown,1068
Airport Quarantine,3
Ariyalur,51
Chengalpattu,658
Chennai,1162
Coimbatore,965
Cuddalore,141
Dharmapuri,177
Dindigul,64
Erode,549
Kallakurichi,112
Kancheepuram,237
Kanyakumari,132
Karur,80
Krishnagiri,141
Madurai,132
Mayiladuthurai,82
Nagapattinam,145
Namakkal,376
Nilgiris,197
Perambalur,24
Pudukkottai,95
Ramanathapuram,59
Ranipet,85
Salem,395
Sivaganga,75
Tenkasi,13
Thanjavur,426
Theni,30
Thiruvallur,421
Thiruvarur,242
Thoothukkudi,105
Tiruchirappalli,331
Tirunelveli,115
Tirupathur,61
Tiruppur,556
Tiruvannamalai,142
Vellore,119
Viluppuram,84
Virudhunagar,45
Gomati,3
Khowai,1
North Tripura,8
Sipahijala,2
South Tripura,1
Unokoti,1
West Tripura,33
Agra,3
Aligarh,2
Amethi,7
Auraiya,1
Balrampur,1
Bareilly,5
Bhadohi,1
Gautam Buddha Nagar,11
Ghaziabad,4
Ghazipur,1
Gorakhpur,3
Jalaun,2
Kannauj,2
Lucknow,15
Maharajganj,1
Meerut,5
Muzaffarnagar,1
Pilibhit,1
Pratapgarh,1
Prayagraj,2
Rae Bareli,1
Saharanpur,1
Siddharthnagar,1
Varanasi,2
Chamoli,3
Champawat,7
Dehradun,28
Haridwar,5
Nainital,25
Pauri Garhwal,7
Pithoragarh,4
Rudraprayag,7
Tehri Garhwal,1
Uttarkashi,1
Alipurduar,26
Bankura,83
Birbhum,51
Cooch Behar,82
Dakshin Dinajpur,80
Darjeeling,160
Hooghly,358
Howrah,344
Jalpaiguri,110
Jhargram,37
Kalimpong,30
Kolkata,1044
Malda,58
Murshidabad,31
Nadia,228
North 24 Parganas,763
Paschim Bardhaman,74
Paschim Medinipur,136
Purba Bardhaman,132
Purba Medinipur,65
Purulia,9
South 24 Parganas,267
Uttar Dinajpur,25
