districts,population
Nicobars,36842
North and Middle Andaman,105597
South Andaman,238142
Anantapur,4083315
Chittoor,4170468
East Godavari,5151549
Guntur,4889230
Krishna,4529009
Kurnool,4046601
Prakasam,3392764
S.P.S. Nellore,2966082
Srikakulam,2699471
Visakhapatnam,4288113
Vizianagaram,2342868
West Godavari,3934782
Y.S.R. Kadapa,2884524
Anjaw,21089
Capital Complex,0
Changlang,147951
East Kameng,78413
East Siang,99019
Kamle,22256
Kra Daadi,0
Kurung Kumey,89717
Lepa Rada,0
Lohit,145538
Longding,60000
Lower Dibang Valley,53986
Lower Siang,80597
Lower Subansiri,82839
Namsai,95950
Pakke Kessang,0
Papum Pare,176385
Shi Yomi,13310
Siang,31920
Tawang,49950
Tirap,111997
Upper Dibang Valley,7948
Upper Siang,35289
Upper Subansiri,83205
West Kameng,87013
West Siang,112272
Baksa,953773
Barpeta,1693190
Biswanath,612491
Bongaigaon,732639
Cachar,1736319
Chirang,481818
Darrang,908090
Dhemaji,688077
Dhubri,1948632
Dibrugarh,1327748
Dima Hasao,213529
Goalpara,1008959
Golaghat,1058674
Hailakandi,659260
Hojai,931218
Jorhat,1091295
Kamrup,1517202
Kamrup Metropolitan,1260419
Karbi Anglong,965280
Karimganj,1217002
Kokrajhar,886999
Lakhimpur,1040644
Majuli,167304
Morigaon,957853
Nagaon,2826006
Nalbari,769919
Sivasagar,1150253
Sonitpur,1925975
South Salmara Mankachar,555114
Tinsukia,1316948
Udalguri,832769
West Karbi Anglong,300320
Araria,2806200
Arwal,700843
Aurangabad,2511243
Banka,2029339
Begusarai,2954367
Bhagalpur,3032226
Bhojpur,2720155
Buxar,1707643
Darbhanga,3921971
East Champaran,5082868
Gaya,4379383
Gopalganj,2558037
Jamui,1756078
Jehanabad,1124176
Kaimur,1626900
Katihar,3068149
Khagaria,1657599
Kishanganj,1690948
Lakhisarai,1000717
Madhepura,1994618
Madhubani,4476044
Munger,1359054
Muzaffarpur,4778610
Nalanda,2872523
Nawada,2216653
Patna,5772804
Purnia,3273127
Rohtas,2962593
Saharsa,1897102
Samastipur,4254782
Saran,3943098
Sheikhpura,634927
Sheohar,656916
Sitamarhi,3419622
Siwan,3318176
Supaul,2228397
Vaishali,3495021
West Champaran,3935042
Chandigarh,1055450
Balod,826165
Baloda Bazar,1305343
Balrampur,598855
Bametara,197035
Bastar,1302253
Bijapur,229832
Bilaspur,1961922
Dakshin Bastar Dantewada,533638
Dhamtari,799199
Durg,3343079
Gariaband,597653
Gaurela Pendra Marwahi,0
Janjgir Champa,1620632
Jashpur,852043
Kabeerdham,584667
Kondagaon,578326
Korba,1206563
Koriya,659039
Mahasamund,1032275
Mungeli,701707
Narayanpur,140206
Raigarh,1493627
Raipur,4062160
Rajnandgaon,1537520
Sukma,249000
Surajpur,660280
Surguja,420661
Uttar Bastar Kanker,748593
Delhi,19814000
Dadra and Nagar Haveli,343709
Daman,191173
Diu,52074
North Goa,817761
South Goa,639962
Ahmedabad,7208200
Amreli,1513614
Anand,2090276
Aravalli,1051746
Banaskantha,3116045
Bharuch,1550822
Bhavnagar,2877961
Botad,656005
Chhota Udaipur,1071831
Dahod,2126558
Dang,226769
Devbhumi Dwarka,752484
Gandhinagar,1387478
Gir Somnath,1217477
Jamnagar,2159130
Junagadh,2742291
Kheda,2298934
Kutch,2090313
Mahisagar,994624
Mehsana,2027727
Morbi,960329
Narmada,590379
Navsari,1330711
Other State,0
Panchmahal,2388267
Patan,1342746
Porbandar,586062
Rajkot,3157676
Sabarkantha,2427346
Surat,4996391
Surendranagar,1755873
Tapi,806489
Vadodara,3639775
Valsad,1703068
Bilaspur,382056
Chamba,518844
Hamirpur,454293
Kangra,1507223
Kinnaur,84298
Kullu,437474
Lahaul and Spiti,31528
Mandi,999518
Shimla,813384
Sirmaur,530164
Solan,576670
Una,521057
Ambala,1136784
Bhiwani,1629109
Charkhi Dadri,502276
Faridabad,1798954
Fatehabad,941522
Gurugram,1514085
Hisar,1742815
Jhajjar,956907
Jind,1332042
Kaithal,1072861
Karnal,1506323
Kurukshetra,964231
Mahendragarh,921680
Nuh,1089406
Palwal,1040493
Panchkula,558890
Panipat,1202811
Rewari,896129
Rohtak,1058683
Sirsa,1295114
Sonipat,1480080
Yamunanagar,1214162
Bokaro,2061918
Chatra,1042304
Deoghar,1491879
Dhanbad,2682662
Dumka,1321096
East Singhbhum,2291032
Garhwa,1322387
Giridih,2445203
Godda,1311382
Gumla,1025656
Hazaribagh,1734005
Jamtara,790207
Khunti,530299
Koderma,717169
Latehar,725673
Lohardaga,461738
Pakur,899200
Palamu,1936319
Ramgarh,949159
Ranchi,2912022
Sahibganj,1150038
Saraikela-Kharsawan,1063458
Simdega,599813
West Singhbhum,1501619
Anantnag,1070144
Bandipora,385099
Baramulla,1015503
Budgam,735753
Doda,409576
Ganderbal,297003
Jammu,1526406
Kathua,615711
Kishtwar,230696
Kulgam,422786
Kupwara,875564
Pulwama,570060
Punch,476820
Rajouri,619266
Ramban,283313
Reasi,314714
Samba,318611
Shopiyan,265960
Srinagar,1269751
Udhampur,555357
Bagalkote,1890826
Ballari,2532383
Belagavi,4778439
Bengaluru Rural,987257
Bengaluru Urban,9588910
Bidar,1700018
Chamarajanagara,1020962
Chikkaballapura,1254377
Chikkamagaluru,1137753
Chitradurga,1660378
Dakshina Kannada,2083625
Davanagere,1946905
