State_code,tested,vaccinated1,vaccinated2,confirmed,deceased,recovered
AN,1376.0,3.0,13.0,0.0,0.0,0.0
AP,39848.0,20497.0,24137.0,385.0,4.0,675.0
AR,334.0,42.0,195.0,1.0,0.0,9.0
AS,15060.0,19124.0,37463.0,212.0,1.0,236.0
BR,226443.0,114694.0,145827.0,8.0,0.0,9.0
CH,1403.0,211.0,1282.0,5.0,0.0,3.0
CT,11869.0,21312.0,39393.0,32.0,1.0,32.0
DL,56751.0,12482.0,11839.0,45.0,0.0,46.0
DN,0.0,3.0,20.0,0.0,0.0,1.0
GA,2361.0,2572.0,12404.0,23.0,0.0,53.0
GJ,34282.0,14685.0,62096.0,20.0,0.0,23.0
HP,3613.0,371.0,8192.0,85.0,1.0,198.0
HR,20588.0,7867.0,15801.0,11.0,0.0,10.0
JH,31238.0,41034.0,51488.0,10.0,0.0,8.0
JK,38915.0,1584.0,45202.0,95.0,0.0,79.0
KA,106939.0,17604.0,28163.0,292.0,11.0,345.0
KL,65158.0,2010.0,11914.0,7167.0,167.0,6439.0
LA,388.0,0.0,2.0,11.0,0.0,9.0
MH,108040.0,53161.0,31988.0,1172.0,20.0,1399.0
ML,1559.0,38.0,203.0,22.0,1.0,51.0
MN,1689.0,705.0,4283.0,63.0,1.0,62.0
MP,55368.0,5713.0,77062.0,16.0,0.0,8.0
MZ,5945.0,10.0,51.0,579.0,2.0,610.0
NL,468.0,193.0,822.0,11.0,1.0,21.0
OR,69675.0,21420.0,25651.0,488.0,4.0,450.0
PB,34152.0,3321.0,4418.0,26.0,1.0,25.0
PY,2662.0,171.0,532.0,38.0,0.0,45.0
RJ,13454.0,9399.0,29672.0,2.0,0.0,2.0
SK,389.0,0.0,0.0,21.0,1.0,8.0
TG,25021.0,38781.0,26738.0,121.0,1.0,183.0
TN,123701.0,77325.0,106584.0,1009.0,19.0,1183.0
TR,3501.0,3.0,650.0,12.0,0.0,2.0
UP,161458.0,53401.0,57556.0,6.0,0.0,6.0
UT,9524.0,1065.0,12934.0,5.0,0.0,9.0
WB,47417.0,209609.0,58881.0,914.0,15.0,913.0
