State_code,confirmed,deceased,recovered,tested,vaccinated1,vaccinated2
AN,7651,129,7518,598033,294001,200157
AP,2066450,14373,2047722,29518787,32976969,20375181
AR,55155,280,54774,1185436,771875,534486
AS,610645,5997,600974,24712042,20172463,8068795
BR,726098,9661,716390,50531824,49874828,18346781
CH,65351,820,64495,792851,926035,546981
CT,1006052,13577,992159,13709510,14851682,7343273
DL,1439870,25091,1414431,29427753,13055636,7425404
DN,10681,4,10644,72410,660753,370255
GA,178108,3364,174392,1468399,1262568,911114
GJ,826577,10089,816283,30928063,44735217,25972387
HP,224106,3738,218410,3685011,5713695,3443823
HR,771252,10049,761068,13032504,17772376,8115463
JH,348764,5138,343518,15985878,14986646,5585648
JK,332249,4432,326915,16202346,9511073,5149471
KA,2988333,38082,2941578,50873103,42497761,22858384
KL,4968657,31681,4857181,37886378,25306499,13658343
LA,20962,208,20687,555568,208798,152280
MH,6611078,140216,6450585,62667211,67198794,30975692
ML,83627,1450,81746,1151665,1103275,641819
MN,123731,1921,121102,1367673,1249436,719413
MP,792854,10524,782215,20294225,49911938,20838045
MZ,121359,432,114612,1298444,711597,512029
NL,31842,685,29904,395416,709553,490663
OR,1041457,8386,1029147,21994343,25736641,11560912
PB,602401,16559,585591,15429415,15942714,6238973
PY,128013,1857,125726,1919060,733922,404355
RJ,954429,8954,945443,14807752,42544909,20097635
SK,31979,396,31063,261343,521763,451509
TG,671463,3956,663498,27569831,22498559,9772398
TN,2702623,36116,2655015,51159242,41279432,17619141
TR,84468,813,83466,1983127,2508477,1621329
UP,1710158,22900,1687151,83635222,98178865,32681895
UT,343896,7400,330195,7781148,7478017,3898342
WB,1592908,19141,1565471,19228303,56192166,21559747
