dates,confirmed,recovered,tested,other,deceased,vaccinated1,vaccinated2
2020-03-26,1,0,0,0,0,0,0
2020-03-27,6,0,0,0,0,0,0
2020-03-28,9,0,0,0,0,0,0
2020-03-29,9,0,0,0,0,0,0
2020-03-30,10,0,0,0,0,0,0
2020-03-31,10,0,0,0,0,0,0
2020-04-01,10,0,0,0,0,0,0
2020-04-02,9,0,0,0,0,0,0
2020-04-03,4,0,0,0,0,0,0
2020-04-04,1,0,0,0,0,0,0
2020-04-05,1,0,0,0,0,0,0
2020-04-08,1,0,0,0,0,0,0
2020-04-09,1,10,0,0,0,0,0
2020-04-10,1,10,0,0,0,0,0
2020-04-11,1,10,0,0,0,0,0
2020-04-12,1,10,0,0,0,0,0
2020-04-13,1,10,0,0,0,0,0
2020-04-14,1,10,0,0,0,0,0
2020-04-15,0,10,0,0,0,0,0
2020-04-16,0,1,0,0,0,0,0
2020-04-17,1,1,1403,0,0,0,0
2020-04-18,3,1,1403,0,0,0,0
2020-04-19,4,1,1403,0,0,0,0
2020-04-20,5,1,1403,0,0,0,0
2020-04-21,6,1,1403,0,0,0,0
2020-04-22,7,1,1403,0,0,0,0
2020-04-23,11,0,1403,0,0,0,0
2020-04-24,17,0,1276,0,0,0,0
2020-04-25,19,0,1276,0,0,0,0
2020-04-26,18,0,1276,0,0,0,0
2020-04-27,17,0,1445,0,0,0,0
2020-04-28,16,4,1445,0,0,0,0
2020-04-29,15,4,1445,0,0,0,0
2020-04-30,11,5,1445,0,0,0,0
2020-05-01,4,5,1075,0,0,0,0
2020-05-02,0,15,1075,0,0,0,0
2020-05-03,0,21,1075,0,0,0,0
2020-05-04,0,21,906,0,0,0,0
2020-05-05,0,17,906,0,0,0,0
2020-05-06,0,17,906,0,0,0,0
2020-05-07,0,17,906,0,0,0,0
2020-05-08,0,17,0,0,0,0,0
2020-05-09,0,7,0,0,0,0,0
2020-05-10,0,1,0,0,0,0,0
2020-05-11,0,1,0,0,0,0,0
2020-05-12,0,1,0,0,0,0,0
2020-05-13,0,1,0,0,0,0,0
2020-05-16,0,0,2923,0,0,0,0
2020-05-17,0,0,2923,0,0,0,0
2020-05-18,0,0,2923,0,0,0,0
2020-05-19,0,0,3211,0,0,0,0
2020-05-20,0,0,3328,0,0,0,0
2020-05-21,0,0,3413,0,0,0,0
2020-05-22,0,0,3509,0,0,0,0
2020-05-23,0,0,650,0,0,0,0
2020-05-24,0,0,650,0,0,0,0
2020-05-25,0,0,686,0,0,0,0
2020-05-26,0,0,483,0,0,0,0
2020-05-27,0,0,417,0,0,0,0
2020-05-28,0,0,352,0,0,0,0
2020-05-29,0,0,304,0,0,0,0
2020-05-30,0,0,240,0,0,0,0
2020-05-31,0,0,379,0,0,0,0
2020-06-01,0,0,442,0,0,0,0
2020-06-02,0,0,638,0,0,0,0
2020-06-03,0,0,796,0,0,0,0
2020-06-04,0,0,894,0,0,0,0
2020-06-05,0,0,1127,0,0,0,0
2020-06-06,0,0,1470,0,0,0,0
2020-06-07,0,0,1536,0,0,0,0
2020-06-08,0,0,1536,0,0,0,0
2020-06-09,1,0,1773,0,0,0,0
2020-06-10,2,0,1715,0,0,0,0
2020-06-11,5,0,1813,0,0,0,0
2020-06-12,5,0,2003,0,0,0,0
2020-06-13,5,0,1918,0,0,0,0
2020-06-14,7,0,2114,0,0,0,0
2020-06-15,8,0,2177,0,0,0,0
2020-06-16,10,0,1950,0,0,0,0
2020-06-17,9,0,2229,0,0,0,0
2020-06-18,7,2,2396,0,0,0,0
2020-06-19,9,2,2233,0,0,0,0
2020-06-20,9,2,2365,0,0,0,0
2020-06-21,8,4,2078,0,0,0,0
2020-06-22,7,4,1993,0,0,0,0
2020-06-23,6,7,1914,0,0,0,0
2020-06-24,12,8,1755,0,0,0,0
2020-06-25,13,6,1655,0,0,0,0
2020-06-26,25,8,1653,0,0,0,0
2020-06-27,25,8,1531,0,0,0,0
2020-06-28,35,8,1660,0,0,0,0
2020-06-29,42,8,1899,0,0,0,0
2020-06-30,47,5,1986,0,0,0,0
2020-07-01,44,9,1988,0,0,0,0
2020-07-02,51,10,2001,0,0,0,0
2020-07-03,44,11,2043,0,0,0,0
2020-07-04,47,23,1981,0,0,0,0
2020-07-05,42,27,1815,0,0,0,0
2020-07-06,51,29,1685,0,0,0,0
2020-07-07,50,29,1672,0,0,0,0
2020-07-08,49,24,1661,0,0,0,0
2020-07-09,47,32,1574,0,0,0,0
2020-07-10,40,38,1420,0,0,0,0
