dates,confirmed,recovered,tested,other,deceased,vaccinated1,vaccinated2
2020-03-26,1,0,0,0,0,0,0
2020-03-27,5,0,0,0,0,0,0
2020-03-28,3,0,0,0,0,0,0
2020-03-30,1,0,0,0,0,0,0
2020-04-08,1,0,0,0,0,0,0
2020-04-09,0,10,0,0,0,0,0
2020-04-16,0,1,0,0,0,0,0
2020-04-17,1,0,1403,0,0,0,0
2020-04-18,2,0,0,0,0,0,0
2020-04-19,1,0,0,0,0,0,0
2020-04-20,1,0,0,0,0,0,0
2020-04-21,1,0,0,0,0,0,0
2020-04-22,1,0,0,0,0,0,0
2020-04-23,4,0,0,0,0,0,0
2020-04-24,7,0,1276,0,0,0,0
2020-04-25,4,0,0,0,0,0,0
2020-04-27,0,0,169,0,0,0,0
2020-04-28,0,4,0,0,0,0,0
2020-04-30,0,1,0,0,0,0,0
2020-05-01,0,0,906,0,0,0,0
2020-05-02,0,10,0,0,0,0,0
2020-05-03,0,6,0,0,0,0,0
2020-05-07,0,1,0,0,0,0,0
2020-05-16,0,0,2923,0,0,0,0
2020-05-19,0,0,288,0,0,0,0
2020-05-20,0,0,117,0,0,0,0
2020-05-21,0,0,85,0,0,0,0
2020-05-22,0,0,96,0,0,0,0
2020-05-23,0,0,64,0,0,0,0
2020-05-25,0,0,36,0,0,0,0
2020-05-26,0,0,85,0,0,0,0
2020-05-27,0,0,51,0,0,0,0
2020-05-28,0,0,20,0,0,0,0
2020-05-29,0,0,48,0,0,0,0
2020-05-31,0,0,139,0,0,0,0
2020-06-01,0,0,99,0,0,0,0
2020-06-02,0,0,281,0,0,0,0
2020-06-03,0,0,209,0,0,0,0
2020-06-04,0,0,118,0,0,0,0
2020-06-05,0,0,281,0,0,0,0
2020-06-06,0,0,343,0,0,0,0
2020-06-07,0,0,205,0,0,0,0
2020-06-08,0,0,99,0,0,0,0
2020-06-09,1,0,518,0,0,0,0
2020-06-10,1,0,151,0,0,0,0
2020-06-11,3,0,216,0,0,0,0
2020-06-12,0,0,471,0,0,0,0
2020-06-13,0,0,258,0,0,0,0
2020-06-14,2,0,401,0,0,0,0
2020-06-15,1,0,162,0,0,0,0
2020-06-16,3,0,291,0,0,0,0
2020-06-17,0,0,430,0,0,0,0
2020-06-18,1,2,383,0,0,0,0
2020-06-19,2,0,308,0,0,0,0
2020-06-20,0,0,390,0,0,0,0
2020-06-21,1,2,114,0,0,0,0
2020-06-22,0,0,77,0,0,0,0
2020-06-23,2,3,212,0,0,0,0
2020-06-24,6,1,271,0,0,0,0
2020-06-25,2,0,283,0,0,0,0
2020-06-26,14,2,306,0,0,0,0
2020-06-27,0,0,268,0,0,0,0
2020-06-28,11,2,243,0,0,0,0
2020-06-29,7,0,316,0,0,0,0
2020-06-30,7,0,299,0,0,0,0
2020-07-01,3,5,273,0,0,0,0
2020-07-02,9,1,296,0,0,0,0
2020-07-03,7,3,348,0,0,0,0
2020-07-04,3,12,206,0,0,0,0
2020-07-05,6,6,77,0,0,0,0
2020-07-06,16,2,186,0,0,0,0
2020-07-07,6,0,286,0,0,0,0
2020-07-08,2,0,262,0,0,0,0
2020-07-09,7,9,209,0,0,0,0
2020-07-10,0,9,194,0,0,0,0
2020-07-11,0,0,269,0,0,0,0
2020-07-12,7,8,132,0,0,0,0
2020-07-13,3,9,162,0,0,0,0
2020-07-14,5,20,275,0,0,0,0
2020-07-15,5,1,177,0,0,0,0
2020-07-16,4,3,166,0,0,0,0
2020-07-17,4,9,194,0,0,0,0
2020-07-18,4,3,250,0,0,0,0
2020-07-19,15,0,233,1,0,0,0
2020-07-20,4,6,397,0,0,0,0
2020-07-21,5,8,341,0,0,0,0
2020-07-22,9,4,401,0,0,0,0
2020-07-23,19,7,267,0,0,0,0
2020-07-24,19,4,433,0,0,0,0
2020-07-25,31,2,222,0,0,0,0
2020-07-26,28,4,84,0,0,0,0
2020-07-27,20,12,499,0,1,0,0
2020-07-28,25,4,377,0,0,0,0
2020-07-29,65,5,292,0,1,0,0
2020-07-30,42,0,398,0,1,0,0
2020-07-31,78,13,423,0,2,0,0
2020-08-01,88,12,270,0,2,0,0
