,state,dates
0,AN,2020-03-26
1,AN,2020-03-27
2,AN,2020-03-28
3,AN,2020-03-29
4,AN,2020-03-30
5,AN,2020-03-31
6,AN,2020-04-01
7,AN,2020-04-02
8,AN,2020-04-03
9,AN,2020-04-04
10,AN,2020-04-05
11,AN,2020-04-06
12,AN,2020-04-07
13,AN,2020-04-08
14,AN,2020-04-09
15,AN,2020-04-10
16,AN,2020-04-11
17,AN,2020-04-12
18,AN,2020-04-13
19,AN,2020-04-14
20,AN,2020-04-15
21,AN,2020-04-16
22,AN,2020-04-17
23,AN,2020-04-18
24,AN,2020-04-19
25,AN,2020-04-20
26,AN,2020-04-21
27,AN,2020-04-22
28,AN,2020-04-23
29,AN,2020-04-24
30,AN,2020-04-25
31,AN,2020-04-26
32,AN,2020-04-27
33,AN,2020-04-28
34,AN,2020-04-29
35,AN,2020-04-30
36,AN,2020-05-01
37,AN,2020-05-02
38,AN,2020-05-03
39,AN,2020-05-04
40,AN,2020-05-05
41,AN,2020-05-06
42,AN,2020-05-07
43,AN,2020-05-08
44,AN,2020-05-09
45,AN,2020-05-10
46,AN,2020-05-11
47,AN,2020-05-12
48,AN,2020-05-13
49,AN,2020-05-14
50,AN,2020-05-15
51,AN,2020-05-16
52,AN,2020-05-17
53,AN,2020-05-18
54,AN,2020-05-19
55,AN,2020-05-20
56,AN,2020-05-21
57,AN,2020-05-22
58,AN,2020-05-23
59,AN,2020-05-24
60,AN,2020-05-25
61,AN,2020-05-26
62,AN,2020-05-27
63,AN,2020-05-28
64,AN,2020-05-29
65,AN,2020-05-30
66,AN,2020-05-31
67,AN,2020-06-01
68,AN,2020-06-02
69,AN,2020-06-03
70,AN,2020-06-04
71,AN,2020-06-05
72,AN,2020-06-06
73,AN,2020-06-07
74,AN,2020-06-08
75,AN,2020-06-09
76,AN,2020-06-10
77,AN,2020-06-11
78,AN,2020-06-12
79,AN,2020-06-13
80,AN,2020-06-14
81,AN,2020-06-15
82,AN,2020-06-16
83,AN,2020-06-17
84,AN,2020-06-18
85,AN,2020-06-19
86,AN,2020-06-20
87,AN,2020-06-21
88,AN,2020-06-22
89,AN,2020-06-23
90,AN,2020-06-24
91,AN,2020-06-25
92,AN,2020-06-26
93,AN,2020-06-27
94,AN,2020-06-28
95,AN,2020-06-29
96,AN,2020-06-30
97,AN,2020-07-01
98,AN,2020-07-02
99,AN,2020-07-03
100,AN,2020-07-04
101,AN,2020-07-05
102,AN,2020-07-06
103,AN,2020-07-07
104,AN,2020-07-08
105,AN,2020-07-09
106,AN,2020-07-10
107,AN,2020-07-11
108,AN,2020-07-12
109,AN,2020-07-13
110,AN,2020-07-14
111,AN,2020-07-15
112,AN,2020-07-16
113,AN,2020-07-17
114,AN,2020-07-18
115,AN,2020-07-19
116,AN,2020-07-20
117,AN,2020-07-21
118,AN,2020-07-22
119,AN,2020-07-23
120,AN,2020-07-24
121,AN,2020-07-25
122,AN,2020-07-26
123,AN,2020-07-27
124,AN,2020-07-28
125,AN,2020-07-29
126,AN,2020-07-30
127,AN,2020-07-31
128,AN,2020-08-01
129,AN,2020-08-02
130,AN,2020-08-03
131,AN,2020-08-04
132,AN,2020-08-05
133,AN,2020-08-06
134,AN,2020-08-07
135,AN,2020-08-08
136,AN,2020-08-09
137,AN,2020-08-10
138,AN,2020-08-11
139,AN,2020-08-12
140,AN,2020-08-13
141,AN,2020-08-14
142,AN,2020-08-15
143,AN,2020-08-16
144,AN,2020-08-17
145,AN,2020-08-18
146,AN,2020-08-19
147,AN,2020-08-20
148,AN,2020-08-21
149,AN,2020-08-22
150,AN,2020-08-23
151,AN,2020-08-24
152,AN,2020-08-25
153,AN,2020-08-26
154,AN,2020-08-27
155,AN,2020-08-28
156,AN,2020-08-29
157,AN,2020-08-30
158,AN,2020-08-31
159,AN,2020-09-01
160,AN,2020-09-02
161,AN,2020-09-03
162,AN,2020-09-04
163,AN,2020-09-05
164,AN,2020-09-06
165,AN,2020-09-07
166,AN,2020-09-08
167,AN,2020-09-09
168,AN,2020-09-10
169,AN,2020-09-11
170,AN,2020-09-12
171,AN,2020-09-13
172,AN,2020-09-14
173,AN,2020-09-15
174,AN,2020-09-16
175,AN,2020-09-17
176,AN,2020-09-18
177,AN,2020-09-19
178,AN,2020-09-20
179,AN,2020-09-21
180,AN,2020-09-22
181,AN,2020-09-23
182,AN,2020-09-24
183,AN,2020-09-25
184,AN,2020-09-26
185,AN,2020-09-27
186,AN,2020-09-28
187,AN,2020-09-29
188,AN,2020-09-30
189,AN,2020-10-01
190,AN,2020-10-02
191,AN,2020-10-03
192,AN,2020-10-04
193,AN,2020-10-05
194,AN,2020-10-06
195,AN,2020-10-07
196,AN,2020-10-08
197,AN,2020-10-09
198,AN,2020-10-10
199,AN,2020-10-11
200,AN,2020-10-12
201,AN,2020-10-13
202,AN,2020-10-14
203,AN,2020-10-15
204,AN,2020-10-16
205,AN,2020-10-17
206,AN,2020-10-18
207,AN,2020-10-19
208,AN,2020-10-20
209,AN,2020-10-21
210,AN,2020-10-22
211,AN,2020-10-23
212,AN,2020-10-24
213,AN,2020-10-25
214,AN,2020-10-26
215,AN,2020-10-27
216,AN,2020-10-28
217,AN,2020-10-29
218,AN,2020-10-30
219,AN,2020-10-31
220,AN,2020-11-01
221,AN,2020-11-02
222,AN,2020-11-03
223,AN,2020-11-04
224,AN,2020-11-05
225,AN,2020-11-06
226,AN,2020-11-07
227,AN,2020-11-08
228,AN,2020-11-09
229,AN,2020-11-10
230,AN,2020-11-11
231,AN,2020-11-12
232,AN,2020-11-13
233,AN,2020-11-14
234,AN,2020-11-15
235,AN,2020-11-16
236,AN,2020-11-17
237,AN,2020-11-18
238,AN,2020-11-19
239,AN,2020-11-20
240,AN,2020-11-21
241,AN,2020-11-22
242,AN,2020-11-23
243,AN,2020-11-24
244,AN,2020-11-25
245,AN,2020-11-26
246,AN,2020-11-27
247,AN,2020-11-28
248,AN,2020-11-29
249,AN,2020-11-30
250,AN,2020-12-01
251,AN,2020-12-02
252,AN,2020-12-03
253,AN,2020-12-04
254,AN,2020-12-05
255,AN,2020-12-06
256,AN,2020-12-07
257,AN,2020-12-08
258,AN,2020-12-09
259,AN,2020-12-10
260,AN,2020-12-11
261,AN,2020-12-12
262,AN,2020-12-13
263,AN,2020-12-14
264,AN,2020-12-15
265,AN,2020-12-16
266,AN,2020-12-17
267,AN,2020-12-18
268,AN,2020-12-19
269,AN,2020-12-20
270,AN,2020-12-21
271,AN,2020-12-22
272,AN,2020-12-23
273,AN,2020-12-24
274,AN,2020-12-25
275,AN,2020-12-26
276,AN,2020-12-27
277,AN,2020-12-28
278,AN,2020-12-29
279,AN,2020-12-30
280,AN,2020-12-31
281,AN,2021-01-01
282,AN,2021-01-02
283,AN,2021-01-03
284,AN,2021-01-04
285,AN,2021-01-05
286,AN,2021-01-06
287,AN,2021-01-07
288,AN,2021-01-08
289,AN,2021-01-09
290,AN,2021-01-10
291,AN,2021-01-11
292,AN,2021-01-12
293,AN,2021-01-13
294,AN,2021-01-14
295,AN,2021-01-15
296,AN,2021-01-16
297,AN,2021-01-17
298,AN,2021-01-18
299,AN,2021-01-19
300,AN,2021-01-20
301,AN,2021-01-21
302,AN,2021-01-22
303,AN,2021-01-23
304,AN,2021-01-24
305,AN,2021-01-25
306,AN,2021-01-26
307,AN,2021-01-27
308,AN,2021-01-28
309,AN,2021-01-29
310,AN,2021-01-30
311,AN,2021-01-31
312,AN,2021-02-01
313,AN,2021-02-02
314,AN,2021-02-03
315,AN,2021-02-04
316,AN,2021-02-05
317,AN,2021-02-06
318,AN,2021-02-07
319,AN,2021-02-08
320,AN,2021-02-09
321,AN,2021-02-10
322,AN,2021-02-11
323,AN,2021-02-12
324,AN,2021-02-13
325,AN,2021-02-14
326,AN,2021-02-15
327,AN,2021-02-16
328,AN,2021-02-17
329,AN,2021-02-18
330,AN,2021-02-19
331,AN,2021-02-20
332,AN,2021-02-21
333,AN,2021-02-22
334,AN,2021-02-23
335,AN,2021-02-24
336,AN,2021-02-25
337,AN,2021-02-26
338,AN,2021-02-27
339,AN,2021-02-28
340,AN,2021-03-01
341,AN,2021-03-02
342,AN,2021-03-03
343,AN,2021-03-04
344,AN,2021-03-05
345,AN,2021-03-06
346,AN,2021-03-07
347,AN,2021-03-08
348,AN,2021-03-09
349,AN,2021-03-10
350,AN,2021-03-11
351,AN,2021-03-12
352,AN,2021-03-13
353,AN,2021-03-14
354,AN,2021-03-15
355,AN,2021-03-16
356,AN,2021-03-17
357,AN,2021-03-18
358,AN,2021-03-19
359,AN,2021-03-20
360,AN,2021-03-21
361,AN,2021-03-22
