dates,confirmed,recovered,tested,other,deceased,vaccinated1,vaccinated2
2020-03-26,1,0,0,0,0,0,0
2020-03-27,6,0,0,0,0,0,0
2020-03-28,9,0,0,0,0,0,0
2020-03-29,9,0,0,0,0,0,0
2020-03-30,10,0,0,0,0,0,0
2020-03-31,10,0,0,0,0,0,0
2020-04-01,10,0,0,0,0,0,0
2020-04-02,10,0,0,0,0,0,0
2020-04-03,10,0,0,0,0,0,0
2020-04-04,10,0,0,0,0,0,0
2020-04-05,10,0,0,0,0,0,0
2020-04-06,10,0,0,0,0,0,0
2020-04-07,10,0,0,0,0,0,0
2020-04-08,11,0,0,0,0,0,0
2020-04-09,11,10,0,0,0,0,0
2020-04-10,11,10,0,0,0,0,0
2020-04-11,11,10,0,0,0,0,0
2020-04-12,11,10,0,0,0,0,0
2020-04-13,11,10,0,0,0,0,0
2020-04-14,11,10,0,0,0,0,0
2020-04-15,11,10,0,0,0,0,0
2020-04-16,11,11,0,0,0,0,0
2020-04-17,12,11,1403,0,0,0,0
2020-04-18,14,11,1403,0,0,0,0
2020-04-19,15,11,1403,0,0,0,0
2020-04-20,16,11,1403,0,0,0,0
2020-04-21,17,11,1403,0,0,0,0
2020-04-22,18,11,1403,0,0,0,0
2020-04-23,22,11,1403,0,0,0,0
2020-04-24,29,11,2679,0,0,0,0
2020-04-25,33,11,2679,0,0,0,0
2020-04-26,33,11,2679,0,0,0,0
2020-04-27,33,11,2848,0,0,0,0
2020-04-28,33,15,2848,0,0,0,0
2020-04-29,33,15,2848,0,0,0,0
2020-04-30,33,16,2848,0,0,0,0
2020-05-01,33,16,3754,0,0,0,0
2020-05-02,33,26,3754,0,0,0,0
2020-05-03,33,32,3754,0,0,0,0
2020-05-04,33,32,3754,0,0,0,0
2020-05-05,33,32,3754,0,0,0,0
2020-05-06,33,32,3754,0,0,0,0
2020-05-07,33,33,3754,0,0,0,0
2020-05-08,33,33,3754,0,0,0,0
2020-05-09,33,33,3754,0,0,0,0
2020-05-10,33,33,3754,0,0,0,0
2020-05-11,33,33,3754,0,0,0,0
2020-05-12,33,33,3754,0,0,0,0
2020-05-13,33,33,3754,0,0,0,0
2020-05-14,33,33,3754,0,0,0,0
2020-05-15,33,33,3754,0,0,0,0
2020-05-16,33,33,6677,0,0,0,0
2020-05-17,33,33,6677,0,0,0,0
2020-05-18,33,33,6677,0,0,0,0
2020-05-19,33,33,6965,0,0,0,0
2020-05-20,33,33,7082,0,0,0,0
2020-05-21,33,33,7167,0,0,0,0
2020-05-22,33,33,7263,0,0,0,0
2020-05-23,33,33,7327,0,0,0,0
2020-05-24,33,33,7327,0,0,0,0
2020-05-25,33,33,7363,0,0,0,0
2020-05-26,33,33,7448,0,0,0,0
2020-05-27,33,33,7499,0,0,0,0
2020-05-28,33,33,7519,0,0,0,0
2020-05-29,33,33,7567,0,0,0,0
2020-05-30,33,33,7567,0,0,0,0
2020-05-31,33,33,7706,0,0,0,0
2020-06-01,33,33,7805,0,0,0,0
2020-06-02,33,33,8086,0,0,0,0
2020-06-03,33,33,8295,0,0,0,0
2020-06-04,33,33,8413,0,0,0,0
2020-06-05,33,33,8694,0,0,0,0
2020-06-06,33,33,9037,0,0,0,0
2020-06-07,33,33,9242,0,0,0,0
2020-06-08,33,33,9341,0,0,0,0
2020-06-09,34,33,9859,0,0,0,0
2020-06-10,35,33,10010,0,0,0,0
2020-06-11,38,33,10226,0,0,0,0
2020-06-12,38,33,10697,0,0,0,0
2020-06-13,38,33,10955,0,0,0,0
2020-06-14,40,33,11356,0,0,0,0
2020-06-15,41,33,11518,0,0,0,0
2020-06-16,44,33,11809,0,0,0,0
2020-06-17,44,33,12239,0,0,0,0
2020-06-18,45,35,12622,0,0,0,0
2020-06-19,47,35,12930,0,0,0,0
2020-06-20,47,35,13320,0,0,0,0
2020-06-21,48,37,13434,0,0,0,0
2020-06-22,48,37,13511,0,0,0,0
2020-06-23,50,40,13723,0,0,0,0
2020-06-24,56,41,13994,0,0,0,0
2020-06-25,58,41,14277,0,0,0,0
2020-06-26,72,43,14583,0,0,0,0
2020-06-27,72,43,14851,0,0,0,0
2020-06-28,83,45,15094,0,0,0,0
2020-06-29,90,45,15410,0,0,0,0
2020-06-30,97,45,15709,0,0,0,0
2020-07-01,100,50,15982,0,0,0,0
2020-07-02,109,51,16278,0,0,0,0
2020-07-03,116,54,16626,0,0,0,0
2020-07-04,119,66,16832,0,0,0,0
2020-07-05,125,72,16909,0,0,0,0
