districts,vaccinated1,vaccinated2,confirmed,recovered,deceased,tested,other
Nicobars,62,811,0,0,0,0,0
North and Middle Andaman,90,1839,0,0,0,0,0
South Andaman,732,8012,0,0,0,0,0
Unknown,0,0,3,5,0,0,0
Anantapur,92803,140903,38,58,0,0,0
Chittoor,63824,119541,516,629,6,0,0
East Godavari,36973,223236,604,520,0,0,0
Guntur,285377,156818,272,619,4,0,0
Krishna,75352,230788,422,467,9,0,0
Kurnool,178620,73119,25,26,0,0,0
Prakasam,137338,130213,103,290,3,0,0
S.P.S. Nellore,96973,114393,155,235,2,0,0
Srikakulam,18883,129575,132,72,0,0,0
Visakhapatnam,65301,207340,237,227,1,0,0
Vizianagaram,44847,123576,53,38,1,0,0
West Godavari,61021,146562,234,246,4,0,0
Y.S.R. Kadapa,65843,90958,82,163,0,0,0
Anjaw,45,452,0,0,0,0,0
Changlang,298,3803,3,3,0,0,0
East Kameng,76,409,0,0,0,0,0
East Siang,365,2013,9,10,0,0,0
Kamle,36,185,0,0,0,0,0
Kra Daadi,5,23,0,0,0,0,0
Kurung Kumey,27,255,0,0,0,0,0
Lepa Rada,40,307,0,1,0,0,0
Lohit,221,1494,9,3,0,0,0
Longding,46,356,1,0,0,0,0
Lower Dibang Valley,171,931,14,3,0,0,0
Lower Siang,37,317,0,0,0,0,0
Lower Subansiri,85,767,5,2,0,0,0
Namsai,209,2436,4,16,0,0,0
Pakke Kessang,25,262,0,0,0,0,0
Papum Pare,1055,3799,7,12,0,0,0
Shi Yomi,2,153,1,10,0,0,0
Siang,40,197,0,0,0,0,0
Tawang,91,759,12,8,0,0,0
Tirap,35,631,0,2,0,0,0
Upper Dibang Valley,3,11,0,1,0,0,0
Upper Siang,38,411,0,2,0,0,0
Upper Subansiri,93,1122,0,0,0,0,0
West Kameng,206,1914,1,21,0,0,0
West Siang,63,640,0,3,0,0,0
Baksa,2992,15169,0,0,0,0,0
Barpeta,10495,48544,0,0,0,0,0
Biswanath,5661,35727,0,0,0,0,0
Bongaigaon,2784,18356,0,0,0,0,0
Cachar,26826,21591,0,0,0,0,0
Charaideo,1853,16868,0,0,0,0,0
Chirang,2488,9573,0,0,0,0,0
Darrang,17453,21800,0,0,0,0,0
Dhemaji,3423,15318,0,0,0,0,0
Dhubri,12450,25644,0,0,0,0,0
Dibrugarh,8869,38695,0,0,0,0,0
Dima Hasao,2532,3737,0,0,0,0,0
Goalpara,4013,30725,0,0,0,0,0
Golaghat,6525,51417,0,0,0,0,0
Hailakandi,1724,11247,0,0,0,0,0
Hojai,6217,36724,0,0,0,0,0
Jorhat,3383,39677,0,0,0,0,0
Kamrup,10451,45828,0,0,0,0,0
Kamrup Metropolitan,6625,38155,0,0,0,0,0
Karbi Anglong,13744,12778,0,0,0,0,0
Karimganj,5088,20659,0,0,0,0,0
Kokrajhar,3935,19711,0,0,0,0,0
Lakhimpur,5870,42164,0,0,0,0,0
Majuli,1524,7176,0,0,0,0,0
Morigaon,5298,27861,0,0,0,0,0
Nagaon,16396,36734,0,0,0,0,0
Nalbari,6785,25411,0,0,0,0,0
Sivasagar,1946,23104,0,0,0,0,0
Sonitpur,8341,48290,0,0,0,0,0
South Salmara Mankachar,1978,15304,0,0,0,0,0
Tinsukia,45002,22410,0,0,0,0,0
Udalguri,17371,19343,0,0,0,0,0
Unknown,0,0,2056,2215,24,0,0
West Karbi Anglong,4593,4186,0,0,0,0,0
Araria,51331,69085,2,0,0,0,0
Arwal,4059,17125,0,0,0,0,0
Aurangabad,25561,56431,0,0,0,0,0
Banka,24239,34077,0,0,0,0,0
Begusarai,33903,65735,2,7,0,0,0
Bhagalpur,49875,78088,1,1,0,0,0
Bhojpur,31626,53006,0,0,0,0,0
Buxar,14794,38792,0,0,0,0,0
Darbhanga,39165,82276,0,1,0,0,0
East Champaran,29316,84760,2,0,0,0,0
Gaya,72504,82490,0,1,0,0,0
Gopalganj,31750,70093,0,1,0,0,0
Jamui,24440,24005,0,1,0,0,0
Jehanabad,12986,27200,0,0,0,0,0
Kaimur,19996,28681,0,0,0,0,0
Katihar,53448,75733,0,1,0,0,0
Khagaria,15402,32372,0,0,0,0,0
Kishanganj,24597,25592,4,2,0,0,0
Lakhisarai,8894,16437,0,0,0,0,0
Madhepura,28832,43563,1,0,0,0,0
Madhubani,28535,69785,3,0,0,0,0
Munger,7445,33005,0,1,0,0,0
