districts,vaccinated1,vaccinated2,confirmed,deceased,recovered,tested
Nicobars,25394,20313,0,0,0,0
North and Middle Andaman,78945,59522,0,0,0,0
South Andaman,189662,120322,0,0,0,0
Unknown,0,0,7651,129,7518,0
Anantapur,2690082,1611476,157843,1093,156699,787085
Chittoor,2832987,1807873,246935,1947,244144,780322
East Godavari,3532220,1990578,293836,1290,291610,944746
Foreign Evacuees,0,0,434,0,434,0
Guntur,3440118,1891773,178068,1237,176629,833823
Krishna,2971604,1914927,119348,1430,117130,782232
Kurnool,2672759,1290419,124142,853,123264,867361
Other State,0,0,2461,0,2461,0
Prakasam,2321031,1521177,138482,1124,136989,697340
S.P.S. Nellore,2143402,1403240,146388,1053,144919,682964
Srikakulam,1630248,974734,123109,786,122136,670899
Visakhapatnam,2999432,1864960,157737,1127,156492,744983
Vizianagaram,1393491,996097,82967,672,82231,531433
West Godavari,2525317,1778807,179077,1117,177680,793098
Y.S.R. Kadapa,1824032,1328711,115623,644,114904,671761
Anjaw,11695,7957,1068,3,1065,2845
Capital Complex,0,0,0,0,0,115210
Changlang,88857,55361,3807,22,3780,23861
East Kameng,22931,15646,1094,0,1094,7489
East Siang,54001,39434,3206,17,3183,21867
Kamle,6946,3874,512,0,512,1385
Kra Daadi,6275,3272,270,0,270,3218
Kurung Kumey,9121,5601,511,1,510,4201
Lepa Rada,13328,10176,874,3,871,6747
Lohit,31120,22003,2885,26,2851,14945
Longding,19259,7826,752,2,749,10342
Lower Dibang Valley,32639,22089,2426,11,2397,12169
Lower Siang,16565,9990,738,8,730,7070
Lower Subansiri,26916,18827,3036,15,3015,10564
Namsai,63539,47104,2124,17,2102,19987
Pakke Kessang,8004,4998,453,0,453,3327
Papum Pare,141168,100258,18316,98,18212,41960
Shi Yomi,6910,5663,262,0,261,2169
Siang,14408,9068,411,3,408,4270
Tawang,29553,23287,2577,20,2533,14224
Tirap,31565,21200,1109,5,1102,14657
Upper Dibang Valley,4156,2603,337,2,335,1910
Upper Siang,18594,13671,1016,1,1015,6564
Upper Subansiri,24842,16390,1958,6,1952,6217
West Kameng,55710,40321,3545,14,3518,28155
West Siang,33773,27867,1868,6,1856,13192
Baksa,553967,136574,0,0,0,0
Barpeta,1095048,448006,0,0,0,0
Biswanath,456088,213437,0,0,0,0
Bongaigaon,493242,183782,0,0,0,0
Cachar,1101266,402535,0,0,0,0
Charaideo,309125,111219,0,0,0,0
Chirang,288696,102397,0,0,0,0
Darrang,596783,183724,0,0,0,0
Dhemaji,431792,184251,0,0,0,0
Dhubri,945264,229696,0,0,0,0
Dibrugarh,914640,430800,0,0,0,301657
Dima Hasao,116318,62593,0,0,0,0
Goalpara,662016,195521,0,0,0,0
Golaghat,711564,306745,0,0,0,0
Hailakandi,422295,146888,0,0,0,0
Hojai,602504,274035,0,0,0,0
Jorhat,649267,297724,0,0,0,0
Kamrup,1079092,409628,0,0,0,0
Kamrup Metropolitan,1246239,875897,0,0,0,0
Karbi Anglong,284600,102798,0,0,0,0
Karimganj,681216,203575,0,0,0,0
Kokrajhar,538901,156488,0,0,0,0
Lakhimpur,681386,301369,0,0,0,0
Majuli,117599,82507,0,0,0,0
Morigaon,592446,212146,0,0,0,0
Nagaon,1203831,448081,0,0,0,0
Nalbari,483076,168392,0,0,0,0
Sivasagar,478954,223921,0,0,0,0
Sonitpur,767841,434213,0,0,0,0
South Salmara Mankachar,239906,76599,0,0,0,0
Tinsukia,795057,286170,0,0,0,0
Udalguri,504439,133919,0,0,0,24661
Unknown,0,0,610645,5997,600974,0
West Karbi Anglong,127612,42942,0,0,0,0
Araria,1177154,395227,14978,116,14859,219221
Arwal,345175,116424,7381,74,7307,101624
Aurangabad,1132482,407913,20011,75,19936,412007
Banka,935177,351254,7379,112,7267,364776
Begusarai,1430906,480982,27212,457,26754,213670
Bhagalpur,1494951,650332,25840,309,25531,582113
Bhojpur,1291186,382719,10210,159,10051,466438
Buxar,907374,322555,9248,182,9066,461428
Darbhanga,1869372,741553,10937,370,10567,448442
East Champaran,2498559,1002939,19017,430,18585,548132
Gaya,1925234,722746,33952,280,33672,872359
Gopalganj,1286763,481968,16685,94,16591,562654
Jamui,800488,222093,9418,106,9312,342005
Jehanabad,498448,184446,10783,109,10674,492255
Kaimur,801438,225437,4984,147,4837,442332
Katihar,1451838,403046,18145,94,18051,556438
Khagaria,775019,222012,10064,88,9976,148340
Kishanganj,757066,205274,10128,66,10057,294321
Lakhisarai,461970,138407,7776,102,7674,332434
Madhepura,965767,260408,12547,111,12435,455482
Madhubani,1974159,680214,18365,339,18023,715168
Munger,707588,264665,15111,158,14953,325212
Muzaffarpur,2253919,717015,31398,621,30777,722651
Nalanda,1393762,638181,23432,468,22964,591346
Nawada,1062349,274319,10353,178,10174,322514
Patna,3421614,2366474,147007,2334,144651,676238
Purnia,1603099,729224,24427,180,24247,568756
Rohtas,1498172,465660,13980,271,13707,521553
Saharsa,995618,366567,17616,134,17482,356327
Samastipur,1991102,555728,20020,155,19864,614569
Saran,1868014,736766,23278,255,23020,761473
Sheikhpura,287209,95322,7693,75,7618,142348
Sheohar,300967,108766,4404,36,4368,199431
Sitamarhi,1511464,424182,9185,127,9058,453227
Siwan,1670590,684755,15195,170,15025,536438
Supaul,1069993,369925,17222,129,17093,456511
Vaishali,1671469,478638,19827,192,19632,275884
West Champaran,1784016,469332,20890,358,20532,551778
Chandigarh,926035,546981,65351,820,64495,792851
Balod,537459,271570,27278,396,26880,2749
Baloda Bazar,617777,211945,43085,471,42611,3816
Balrampur,305554,112777,20302,118,20182,21481
Bametara,405388,132925,19963,236,19726,3113
Bastar,443759,178775,21066,188,20845,4522
Bijapur,103247,44245,8324,55,8263,1239
Bilaspur,1031494,525066,65681,1210,64448,9823
Dakshin Bastar Dantewada,158243,80855,10840,25,10809,1168
Dhamtari,509782,224591,27239,545,26690,1501
Durg,1012391,525445,96880,1798,95028,5020
Gariaband,293987,99137,19701,194,19506,2096
Gaurela Pendra Marwahi,189474,79788,12011,146,11864,273
Janjgir Champa,896087,317605,57636,838,56766,4016
Jashpur,435884,182747,27093,212,26867,2542
Kabeerdham,402362,173494,22771,267,22503,2829
Kondagaon,317695,100468,13139,99,13036,1607
Korba,650457,287588,54847,580,54228,10034
Koriya,375503,128177,26980,177,26798,2689
Mahasamund,738333,428365,31365,365,31000,2183
Mungeli,282508,109857,23921,167,23753,2922
Narayanpur,53032,19468,4019,14,4005,804
Other State,0,0,805,131,666,0
Raigarh,1074306,967326,62590,978,61597,5084
Raipur,1557999,915437,158035,3139,154852,12704
Rajnandgaon,1028876,530711,56077,515,55557,124947
Sukma,134654,81437,8066,20,8041,1723
Surajpur,419247,163526,29029,224,28805,1830
Surguja,468885,277031,33673,245,33426,103578
Uttar Bastar Kanker,405744,171484,23636,224,23407,2051
Delhi,13055636,7425404,1439870,25091,1414431,29427753
Dadra and Nagar Haveli,387772,183553,5920,3,5910,44813
Daman,234202,155547,3543,1,3516,19338
Diu,38779,31153,1218,0,1218,8259
North Goa,600586,424066,0,0,0,0
South Goa,661972,487016,0,0,0,0
Unknown,0,0,178108,3364,174392,0
Ahmedabad,5961594,3439921,238334,3411,234889,2556492
Amreli,927389,551970,10810,102,10708,212265
Anand,1471865,935893,9637,49,9581,171851
Aravalli,717964,522361,5186,78,5108,122182
Banaskantha,2140492,1157901,13631,162,13469,218527
Bharuch,1217587,669742,11426,118,11308,156057
Bhavnagar,1680398,986097,21447,301,21143,392834
Botad,378232,228691,2218,42,2176,98559
Chhota Udaipur,635695,420157,3395,38,3357,93838
Dahod,1499052,631818,9955,38,9917,218259
Dang,156334,59262,866,18,848,31921
Devbhumi Dwarka,504501,309771,4175,82,4093,80424
Gandhinagar,1175562,706208,20754,205,20549,292598
Gir Somnath,845224,363467,8570,67,8499,121948
Jamnagar,1111813,653950,34978,478,34494,307911
Junagadh,1316479,733025,20505,272,20226,199699
Kheda,1454344,893742,10439,48,10391,218140
Kutch,1412923,680232,12631,145,12474,267060
Mahisagar,815594,459520,8194,72,8122,122796
Mehsana,1405786,869969,24419,177,24242,229904
Morbi,674000,308840,6502,87,6415,157321
Narmada,413260,279684,5955,15,5940,76134
Navsari,948673,647484,7215,24,7181,129099
Other State,0,0,162,3,159,108
Panchmahal,1105110,626003,11770,70,11700,160981
Patan,850462,533438,11624,129,11495,169059
Porbandar,419364,256377,3486,19,3467,97912
Rajkot,2227111,1255012,57976,725,57243,731251
Sabarkantha,1000517,596705,9317,157,9159,182090
Surat,4781894,2529712,143874,1956,141885,1938229
Surendranagar,1113845,715931,8121,136,7985,201153
Tapi,527345,303297,4441,24,4417,92524
Vadodara,2612578,1940514,78159,788,77335,695670
Valsad,1232139,704675,6405,53,6308,155380
Bilaspur,323204,234916,14374,85,14120,39738
Chamba,364258,198146,13687,160,13492,53505
Hamirpur,377332,269143,17379,287,16741,46407
Kangra,1182563,725754,50818,1125,48872,94910
Kinnaur,79673,63209,3507,38,3465,6730
Kullu,351261,203549,9692,158,9496,12012
Lahaul and Spiti,31920,20986,2953,18,2935,540
Mandi,775242,479355,31606,448,30983,41895
Shimla,678341,412640,27549,641,26786,32922
Sirmaur,423793,209631,15456,211,15244,42564
Solan,691163,339630,22817,314,22472,57200
Una,434945,286819,14268,253,13804,52905
Ambala,873020,571772,30150,509,29639,206003
Bhiwani,741251,317765,22409,652,21757,176225
Charkhi Dadri,364599,262184,5078,139,4939,58525
Faridabad,1658940,840997,99902,716,99157,504970
Fatehabad,574546,201763,17875,481,17394,27456
Gurugram,2193114,1377160,181428,922,180454,742619
Hisar,994213,332162,53995,1136,52857,322039
Jhajjar,684511,293496,18849,328,18514,186853
Jind,704573,250859,21209,533,20675,11157
Kaithal,615168,217439,11244,346,10898,11687
Karnal,1000120,451876,40037,552,39484,185147
Kurukshetra,610380,248125,22147,357,21789,198881
Mahendragarh,576527,264911,21689,155,21534,143253
Nuh,354422,78081,5014,123,4890,93389
Palwal,608874,221786,11025,153,10872,139809
Panchkula,456675,279951,30770,378,30379,118725
Panipat,830805,273172,31150,638,30510,58863
Rewari,648724,294989,20327,221,20106,151363
Rohtak,674649,305282,25903,534,25350,25894
Sirsa,786205,278920,29282,508,28771,150193
Sonipat,989125,411915,47138,254,46884,238963
Yamunanagar,831598,340196,24631,414,24215,196131
Bokaro,994497,333330,19461,286,19170,11798
Chatra,454807,126700,6033,53,5977,0
Deoghar,569167,230458,10835,113,10721,6951
Dhanbad,1185934,446946,16589,382,16196,0
Dumka,638722,229944,4636,47,4589,5400
East Singhbhum,1424376,661091,51974,1046,50907,0
Garhwa,456056,148421,6895,94,6801,0
Giridih,994417,301193,8964,130,8834,11132
Godda,527710,198198,5840,87,5753,10980
Gumla,387738,156364,9900,38,9857,0
Hazaribagh,865943,317137,19593,186,19404,0
Jamtara,381155,137216,5599,61,5534,2880
Khunti,227503,107053,7820,96,7724,3852
Koderma,363078,140609,12872,136,12736,0
Latehar,294989,84919,7871,57,7814,0
Lohardaga,173109,63130,6709,88,6621,7526
Pakur,378048,108941,2552,12,2539,6429
Palamu,788026,311074,12294,110,12184,0
Ramgarh,522017,185442,13923,197,13714,0
Ranchi,1512114,656001,86116,1585,84495,0
Sahibganj,430948,132560,4834,42,4792,5029
Saraikela-Kharsawan,505417,167980,7207,67,7137,161796
Simdega,277357,112059,7193,92,7101,0
West Singhbhum,630437,225607,13054,133,12918,0
Anantnag,759605,402717,16603,205,16378,0
Bandipora,303665,154345,9814,102,9693,0
Baramulla,776258,450002,24613,282,24196,0
Budgam,592075,319587,23844,207,23548,0
Doda,313983,158751,7869,133,7704,0
Ganderbal,227349,133812,10436,79,10313,0
Jammu,1168448,610537,53324,1145,52145,0
Kathua,482584,249588,9327,152,9175,0
Kishtwar,164754,78041,4819,44,4773,0
Kulgam,401091,202260,11489,117,11367,0
Kupwara,673594,348327,14463,166,14268,0
Pulwama,430622,244300,15512,194,15309,139552
Punch,386098,234540,6482,98,6371,0
